Id;Color;IdVehicleCatalog
08a23a36-f0e0-4343-b85d-e9c6afafbe1c;GRIS;246
08C26E071C8F413590FA92205183B41E;GRIS;33
08C7228D081843648403DEE7C97341DD;NEGRO;3879
08df1290-a3ae-4d80-92b3-efa86896429f;BLANCO;46
08E6D02425E84FC8AFC36D6C64FA76EC;GRIS;47
09129B895F7B47BE91939FD759338CA1;BLANCO;75
0918991C57104D24A80608D282991C63;AZUL;412
09545542EECA49EC8B56745CF3E14DD1;ROSA;143
0960E32ED15447BB894B7FDC767ED844;GRIS;117
096404A6FB1348319A26A86A414C52D9;AMARILLO;1815
0964A1414D1A4F9B830694F2637D1682;RED;225
096D5F4489F447A1A2889CEEAF89C39B;GRIS;212
0983E2989DD7443DADD4EF95354048F4;GRIS;107
0995fd93-a708-431e-981a-38ca57a9e6af;GRIS;3676
09B269E623FA492AA1EA3A00067EC9B4;BLANCO;1626
09D03EE8714A4D2EB8FB3D8A76EF5547;NEGRO;2145
09D8B164468B404B890CAEF231A3610C;BLANCO;2028
09E065BA39534C178F3DE70C9EE073E4;GRIS;117
0A0642BEEFA04124A819D3DAD4288B23;AZUL;511
0A114BBCD76B401DBB0F84AC4F6002FB;NEGRO;156
0A1CC3C658714305A3361494A781AAF3;BLANCO;2606
0A22647DD8514E4D9F582FCE7CCE0019;AZUL;142
0A23290A39C64509BBD3B6E22EDC5F46;WHITE;47
0A55798694074AB2A3A90CA49A699ABC;AZUL;1160
0A718E1F11D54597882988551506E34D;NEGRO;2019
0A731AF704EF41FCBDF916125A3E457F;BLACK;85
0A9915FB96944A5B86E806A56FCF1C43;AZUL;1750
0AA89FBDCC0E42B4BAB7A4391EACA60F;AZUL;107
0AADE9C1D105426180ECD0FB3A5B2B70;WHITE;4170
0AAE7FB14E654E69A370D43A5AAB60F4;ROJO Y BLANCO;3654
0AC5313A2596431FB9DD29DBD140D39A;ROJO;130
0AD205E5EA1D4DEF97A1F594AF9D9483;ROJO;85
0AD3D6088F4F469885F6DEAF41AABBBF;BROWN;1839
0AE42D0448D84C708F4F780FF6332B9D;VINO;2338
0AECB636F5F947A487682F59A0369E84;GRIS;2637
0AF62BF906144793B83E155F94D8333C;GRIS;1566
0AFA1427878F4F3F9E263B1C9AE01C55;PLATA;429
0AFA702AEA864D63B7E589429FAB08B8;AZUL;168
0AFC5904D5AA463990A7AEFB3CBDE43E;GOLD-BEIGE;66
0b0bd8dd-4cdf-4a60-b106-b3c7e54af009;ROJO;47
0B421D1768FA42F994D473FCAE8F9660;AZUL;168
0B59FADB48964EB0875D741B572C063C;BLANCA;22
0B60A77057FC421DA4E4DDABB9C9E9F6;WHITE;1807
0B613126EFCB4980A9B8E8BCD6B3354B;BLANCO;143
0b6ced57-b6c5-48b4-834f-cbd5c89f9ab5;ROJO;518
0B83EA9A96F745E3877937B469DCEBA0;BLANCO;47
0B8A7B5D7F2944338AD1B9DD5BFDE42B;GRIS;124
0B8C4BEE59CD439DB5C455D8A2B56277;WHITE;125
0b96b815-edee-4d48-b363-912c3e281efd;AZUL;2369
0BE422FEDE3A46089CA48375EC8B168F;MORADO;103
0BE5BE071FEF480AA8764A2085EB1745;BLANCO;151
0BE75CCBF6444AA1B8BF5CF340460CF5;SILVER-GRAY;1667
0BF6CA77E0004860A9E1AE60FA2C8424;BLANCO;404
0C157D8EC5DD4096AC9ED06C41FC9C7F;ROJO;103
0C52E24074CA4B2CBDAAE10706890B7E;BLANCO;2987
0C80545E9A5244C089F9501D303638A9;PLATA;131
0c9bec4e-475e-4230-9540-228b0ee176e0;GRIS;1765
0CB431DBEEC54B8E82CE8F6272B2DA02;WHITE;547
0CB488522F7A4F2D881D4F51B7FBEF49;GRIS;107
0CC3D796D5964A8F937D5AC077A25A12;PLATA;324
0CEE3B979FD24D2283AD6AC5FF661E86;PLATA;47
0d034be0-6d39-4ebb-bb51-c304e16ac176;NEGRO;119
0D142289FDF84023A31EAE6A26024B6C;WHITE;1779
0D19A994CCEE4FC4AD80E070495B7AA4;GRIS;131
0d1a047e-4289-4459-8a54-2e76235eb072;GRIS;267
0D23E6AF52DB4E71B79EAC000FA4BE22;BLANCO;700
0D54960161B84B43BA5B72B8BDE7C111;ROJO;137
